id_x,quantity,order_id,product_id,id_y,datetime,id,price,name
1,2,1,6,1,2019-08-03 20:25:00,6,0.8,Plain Papadum
2,1,1,240,1,2019-08-03 20:25:00,240,12.95,King Prawn Balti
3,1,1,19,1,2019-08-03 20:25:00,19,2.95,Garlic Naan
4,1,1,36,1,2019-08-03 20:25:00,36,3.95,Mushroom Rice
5,1,1,111,1,2019-08-03 20:25:00,111,8.95,Paneer Tikka Masala
6,1,1,3,1,2019-08-03 20:25:00,3,0.5,Mango Chutney
7,1,2,11,2,2019-08-03 20:17:00,11,2.6,Plain Naan
8,1,2,36,2,2019-08-03 20:17:00,36,3.95,Mushroom Rice
9,1,2,55,2,2019-08-03 20:17:00,55,4.95,Tandoori Chicken (1/4)
10,1,2,98,2,2019-08-03 20:17:00,98,7.95,Vindaloo - Lamb
11,1,2,8,2,2019-08-03 20:17:00,8,1.95,Chapati
12,1,2,58,2,2019-08-03 20:17:00,58,4.95,Lamb Tikka
13,1,2,66,2,2019-08-03 20:17:00,66,5.95,Saag Paneer
14,1,3,54,3,2019-08-03 20:09:00,54,4.95,Aloo Chaat
15,1,3,68,3,2019-08-03 20:09:00,68,5.95,Chicken Pakora
16,1,3,169,3,2019-08-03 20:09:00,169,9.95,Chicken Chilli Garlic
17,1,3,170,3,2019-08-03 20:09:00,170,9.95,Lamb Biryani
18,1,3,13,3,2019-08-03 20:09:00,13,2.95,Keema Naan
19,1,4,68,4,2019-08-03 20:01:00,68,5.95,Chicken Pakora
20,1,4,6,4,2019-08-03 20:01:00,6,0.8,Plain Papadum
21,1,4,3,4,2019-08-03 20:01:00,3,0.5,Mango Chutney
22,1,4,4,4,2019-08-03 20:01:00,4,0.5,Red Sauce
23,1,4,191,4,2019-08-03 20:01:00,191,9.95,Korma - Prawn
24,1,4,14,4,2019-08-03 20:01:00,14,2.95,Peshwari Naan
25,1,4,15,4,2019-08-03 20:01:00,15,2.95,Pilau Rice
26,1,5,165,5,2019-08-03 19:44:00,165,9.95,Chicken Balti
27,2,5,34,5,2019-08-03 19:44:00,34,3.95,Special Fried Rice
28,1,6,103,6,2019-08-03 19:42:00,103,8.95,Chicken Tikka Masala
29,1,6,95,6,2019-08-03 19:42:00,95,7.95,Curry - Lamb
30,1,6,15,6,2019-08-03 19:42:00,15,2.95,Pilau Rice
31,1,6,14,6,2019-08-03 19:42:00,14,2.95,Peshwari Naan
32,1,6,6,6,2019-08-03 19:42:00,6,0.8,Plain Papadum
33,2,7,6,7,2019-08-03 19:41:00,6,0.8,Plain Papadum
34,1,7,38,7,2019-08-03 19:41:00,38,3.95,Vegetable Rice
35,1,7,203,7,2019-08-03 19:41:00,203,9.95,Saag - Prawn
36,1,7,136,7,2019-08-03 19:41:00,136,8.95,Tandoori Chicken Masala
37,1,8,15,8,2019-08-03 19:29:00,15,2.95,Pilau Rice
38,1,8,144,8,2019-08-03 19:29:00,144,8.95,Lamb Tikka Chilli Masala
39,1,8,14,8,2019-08-03 19:29:00,14,2.95,Peshwari Naan
40,1,8,74,8,2019-08-03 19:29:00,74,5.95,Saag Aloo
41,1,9,79,9,2019-08-03 19:28:00,79,5.95,Aloo Gobi
42,1,9,64,9,2019-08-03 19:28:00,64,5.95,Bhindi Bhajee
43,1,9,66,9,2019-08-03 19:28:00,66,5.95,Saag Paneer
44,2,9,1,9,2019-08-03 19:28:00,1,0.5,Mint Sauce
45,1,9,176,9,2019-08-03 19:28:00,176,9.95,Chicken Biryani
46,1,9,19,9,2019-08-03 19:28:00,19,2.95,Garlic Naan
47,1,9,11,9,2019-08-03 19:28:00,11,2.6,Plain Naan
48,1,9,136,9,2019-08-03 19:28:00,136,8.95,Tandoori Chicken Masala
49,4,10,6,10,2019-08-03 19:26:00,6,0.8,Plain Papadum
50,2,10,4,10,2019-08-03 19:26:00,4,0.5,Red Sauce
51,1,10,103,10,2019-08-03 19:26:00,103,8.95,Chicken Tikka Masala
52,1,10,94,10,2019-08-03 19:26:00,94,7.95,Madras - Chicken Tikka
53,2,10,36,10,2019-08-03 19:26:00,36,3.95,Mushroom Rice
54,1,10,19,10,2019-08-03 19:26:00,19,2.95,Garlic Naan
55,1,10,73,10,2019-08-03 19:26:00,73,5.95,Bombay Aloo
56,1,11,28,11,2019-08-03 19:25:00,28,3.95,Onion Bhajee
57,1,11,60,11,2019-08-03 19:25:00,60,4.95,Sheek Kebab
58,8,11,6,11,2019-08-03 19:25:00,6,0.8,Plain Papadum
59,2,11,3,11,2019-08-03 19:25:00,3,0.5,Mango Chutney
60,2,11,1,11,2019-08-03 19:25:00,1,0.5,Mint Sauce
61,1,11,5,11,2019-08-03 19:25:00,5,0.5,Onion Chutney
62,1,11,110,11,2019-08-03 19:25:00,110,8.95,Chicken Tikka (Main)
63,1,11,102,11,2019-08-03 19:25:00,102,8.95,Korma - Chicken
64,1,11,103,11,2019-08-03 19:25:00,103,8.95,Chicken Tikka Masala
65,1,11,18,11,2019-08-03 19:25:00,18,2.95,Plain Rice
66,1,11,15,11,2019-08-03 19:25:00,15,2.95,Pilau Rice
67,2,11,13,11,2019-08-03 19:25:00,13,2.95,Keema Naan
68,1,11,30,11,2019-08-03 19:25:00,30,3.95,French Fries
69,1,11,176,11,2019-08-03 19:25:00,176,9.95,Chicken Biryani
70,1,11,36,11,2019-08-03 19:25:00,36,3.95,Mushroom Rice
71,1,12,28,12,2019-08-03 19:16:00,28,3.95,Onion Bhajee
72,1,12,102,12,2019-08-03 19:16:00,102,8.95,Korma - Chicken
73,1,12,14,12,2019-08-03 19:16:00,14,2.95,Peshwari Naan
74,1,12,15,12,2019-08-03 19:16:00,15,2.95,Pilau Rice
75,1,13,110,13,2019-08-03 18:37:00,110,8.95,Chicken Tikka (Main)
76,1,13,103,13,2019-08-03 18:37:00,103,8.95,Chicken Tikka Masala
77,1,13,35,13,2019-08-03 18:37:00,35,3.95,Meat Samosa
78,2,14,6,14,2019-08-03 18:36:00,6,0.8,Plain Papadum
79,1,14,3,14,2019-08-03 18:36:00,3,0.5,Mango Chutney
80,1,14,1,14,2019-08-03 18:36:00,1,0.5,Mint Sauce
81,1,14,4,14,2019-08-03 18:36:00,4,0.5,Red Sauce
82,1,14,42,14,2019-08-03 18:36:00,42,3.95,Keema Rice
83,1,14,13,14,2019-08-03 18:36:00,13,2.95,Keema Naan
84,1,14,169,14,2019-08-03 18:36:00,169,9.95,Chicken Chilli Garlic
85,1,14,168,14,2019-08-03 18:36:00,168,9.95,Lamb Hari Mirch
86,1,14,81,14,2019-08-03 18:36:00,81,5.95,Mushroom Bhajee
87,1,15,92,15,2019-08-03 18:36:00,92,7.95,Curry - Chicken
88,1,15,73,15,2019-08-03 18:36:00,73,5.95,Bombay Aloo
89,1,15,11,15,2019-08-03 18:36:00,11,2.6,Plain Naan
90,1,15,38,15,2019-08-03 18:36:00,38,3.95,Vegetable Rice
91,1,16,212,16,2019-08-03 18:34:00,212,10.95,Chicken Tikka Biryani
92,1,16,82,16,2019-08-03 18:34:00,82,5.95,Mixed Starter
93,1,17,28,17,2019-08-03 18:32:00,28,3.95,Onion Bhajee
94,1,17,212,17,2019-08-03 18:32:00,212,10.95,Chicken Tikka Biryani
95,1,17,113,17,2019-08-03 18:32:00,113,8.95,Bhuna - Chicken Tikka
96,1,17,36,17,2019-08-03 18:32:00,36,3.95,Mushroom Rice
97,1,18,42,18,2019-08-03 18:12:00,42,3.95,Keema Rice
98,1,18,91,18,2019-08-03 18:12:00,91,7.95,Madras - Lamb
99,1,18,73,18,2019-08-03 18:12:00,73,5.95,Bombay Aloo
100,1,19,46,19,2019-08-03 18:00:00,46,3.95,Masala Sauce
101,1,19,36,19,2019-08-03 18:00:00,36,3.95,Mushroom Rice
102,1,19,17,19,2019-08-03 18:00:00,17,2.95,Bottle Coke
103,1,19,14,19,2019-08-03 18:00:00,14,2.95,Peshwari Naan
104,2,19,217,19,2019-08-03 18:00:00,217,11.95,Tandoori Mixed Grill
105,3,19,6,19,2019-08-03 18:00:00,6,0.8,Plain Papadum
106,1,19,1,19,2019-08-03 18:00:00,1,0.5,Mint Sauce
107,1,19,3,19,2019-08-03 18:00:00,3,0.5,Mango Chutney
108,1,19,37,19,2019-08-03 18:00:00,37,3.95,Korma Sauce
109,1,20,199,20,2019-08-03 17:58:00,199,9.95,Pathia - Prawn
110,1,20,176,20,2019-08-03 17:58:00,176,9.95,Chicken Biryani
111,2,20,14,20,2019-08-03 17:58:00,14,2.95,Peshwari Naan
112,1,20,6,20,2019-08-03 17:58:00,6,0.8,Plain Papadum
113,1,20,1,20,2019-08-03 17:58:00,1,0.5,Mint Sauce
114,1,21,105,21,2019-08-03 17:57:00,105,8.95,Chicken Tikka Jalfrezi
115,1,21,116,21,2019-08-03 17:57:00,116,8.95,Bhuna - Lamb
116,2,21,34,21,2019-08-03 17:57:00,34,3.95,Special Fried Rice
117,1,21,14,21,2019-08-03 17:57:00,14,2.95,Peshwari Naan
118,1,21,79,21,2019-08-03 17:57:00,79,5.95,Aloo Gobi
119,1,21,103,21,2019-08-03 17:57:00,103,8.95,Chicken Tikka Masala
120,1,22,35,22,2019-08-03 17:52:00,35,3.95,Meat Samosa
121,1,22,80,22,2019-08-03 17:52:00,80,5.95,Mixed Vegetable Curry
122,1,22,138,22,2019-08-03 17:52:00,138,8.95,Dupiaza - Lamb
123,1,22,29,22,2019-08-03 17:52:00,29,3.95,Lemon Rice
124,1,22,106,22,2019-08-03 17:52:00,106,8.95,Methi - Lamb
125,1,22,15,22,2019-08-03 17:52:00,15,2.95,Pilau Rice
126,1,22,19,22,2019-08-03 17:52:00,19,2.95,Garlic Naan
127,1,22,28,22,2019-08-03 17:52:00,28,3.95,Onion Bhajee
128,1,22,7,22,2019-08-03 17:52:00,7,0.8,Spicy Papadum
129,1,23,11,23,2019-08-03 17:18:00,11,2.6,Plain Naan
130,1,23,15,23,2019-08-03 17:18:00,15,2.95,Pilau Rice
131,1,23,103,23,2019-08-03 17:18:00,103,8.95,Chicken Tikka Masala
132,1,23,116,23,2019-08-03 17:18:00,116,8.95,Bhuna - Lamb
133,2,23,6,23,2019-08-03 17:18:00,6,0.8,Plain Papadum
134,1,24,170,24,2019-08-03 16:21:00,170,9.95,Lamb Biryani
135,2,24,11,24,2019-08-03 16:21:00,11,2.6,Plain Naan
136,1,25,58,25,2019-08-02 20:23:00,58,4.95,Lamb Tikka
137,1,25,28,25,2019-08-02 20:23:00,28,3.95,Onion Bhajee
138,1,25,66,25,2019-08-02 20:23:00,66,5.95,Saag Paneer
139,1,25,103,25,2019-08-02 20:23:00,103,8.95,Chicken Tikka Masala
140,1,25,42,25,2019-08-02 20:23:00,42,3.95,Keema Rice
141,1,25,119,25,2019-08-02 20:23:00,119,8.95,Rogon - Lamb
142,1,25,174,25,2019-08-02 20:23:00,174,9.95,Chicken Tikka Karahi
143,1,25,15,25,2019-08-02 20:23:00,15,2.95,Pilau Rice
144,1,25,73,25,2019-08-02 20:23:00,73,5.95,Bombay Aloo
145,1,26,28,26,2019-08-02 20:18:00,28,3.95,Onion Bhajee
146,1,26,30,26,2019-08-02 20:18:00,30,3.95,French Fries
147,1,26,103,26,2019-08-02 20:18:00,103,8.95,Chicken Tikka Masala
148,1,26,102,26,2019-08-02 20:18:00,102,8.95,Korma - Chicken
149,1,26,11,26,2019-08-02 20:18:00,11,2.6,Plain Naan
150,1,26,15,26,2019-08-02 20:18:00,15,2.95,Pilau Rice
151,1,27,54,27,2019-08-02 19:33:00,54,4.95,Aloo Chaat
152,1,27,103,27,2019-08-02 19:33:00,103,8.95,Chicken Tikka Masala
153,1,27,19,27,2019-08-02 19:33:00,19,2.95,Garlic Naan
154,1,27,15,27,2019-08-02 19:33:00,15,2.95,Pilau Rice
155,1,27,108,27,2019-08-02 19:33:00,108,8.95,Bhuna - Chicken
156,3,28,6,28,2019-08-02 19:19:00,6,0.8,Plain Papadum
157,1,28,29,28,2019-08-02 19:19:00,29,3.95,Lemon Rice
